timestamp_s,flight_id,msg_type,system_id,component_id,nav_state,arming_state,mode,command,lat,lon,relative_alt_m,vx_m_s,vy_m_s,vz_m_s,gps_fix_type,satellites_visible,battery_remaining_pct,voltage_v,roll_deg,pitch_deg,yaw_deg,link_quality_pct,result,expected_anomaly,notes
0,PX4_STYLE_LOG_001,HEARTBEAT,1,1,IDLE,DISARMED,MANUAL,NONE,1.3521,103.8198,0,0,0,0,3,12,98,16.7,0,0,85,98,OK,NONE,Initial heartbeat
1,PX4_STYLE_LOG_001,COMMAND_LONG,1,1,ARMING,DISARMED,GUIDED,ARM,1.3521,103.8198,0,0,0,0,3,12,97,16.6,0,0,85,98,OK,NONE,Arm requested
2,PX4_STYLE_LOG_001,HEARTBEAT,1,1,ARMED,ARMED,GUIDED,NONE,1.3521,103.8198,0,0,0,0,3,12,97,16.6,0,0,85,97,OK,NONE,Armed
3,PX4_STYLE_LOG_001,COMMAND_LONG,1,1,TAKEOFF,ARMED,GUIDED,TAKEOFF,1.3521,103.8198,0,0,0,-1.5,3,12,96,16.5,1,2,85,96,OK,NONE,Takeoff to 30 m
4,PX4_STYLE_LOG_001,LOCAL_POSITION,1,1,TAKEOFF,ARMED,GUIDED,NONE,1.35211,103.819805,2,0.5,0.2,-0.3,3,12,96,16.49,1.0,2.0,86,95,OK,NONE,Climb profile
5,PX4_STYLE_LOG_001,LOCAL_POSITION,1,1,TAKEOFF,ARMED,GUIDED,NONE,1.35212,103.81981,4,0.5,0.2,-0.3,3,12,96,16.48,1.0,2.0,87,95,OK,NONE,Climb profile
6,PX4_STYLE_LOG_001,LOCAL_POSITION,1,1,TAKEOFF,ARMED,GUIDED,NONE,1.35213,103.819815,6,0.5,0.2,-0.3,3,12,95,16.47,1.0,2.0,88,95,OK,NONE,Climb profile
7,PX4_STYLE_LOG_001,LOCAL_POSITION,1,1,TAKEOFF,ARMED,GUIDED,NONE,1.35214,103.81982,8,0.5,0.2,-0.3,3,12,95,16.46,1.0,2.0,89,95,OK,NONE,Climb profile
8,PX4_STYLE_LOG_001,LOCAL_POSITION,1,1,TAKEOFF,ARMED,GUIDED,NONE,1.35215,103.819825,10,0.5,0.2,-0.3,3,12,95,16.45,1.0,2.0,90,95,OK,NONE,Climb profile
9,PX4_STYLE_LOG_001,LOCAL_POSITION,1,1,TAKEOFF,ARMED,GUIDED,NONE,1.35216,103.81983,12,0.5,0.2,-0.3,3,12,94,16.44,1.0,2.0,91,95,OK,NONE,Climb profile
10,PX4_STYLE_LOG_001,LOCAL_POSITION,1,1,TAKEOFF,ARMED,GUIDED,NONE,1.35217,103.819835,14,0.5,0.2,-0.3,3,12,94,16.43,1.0,2.0,92,95,OK,NONE,Climb profile
11,PX4_STYLE_LOG_001,LOCAL_POSITION,1,1,TAKEOFF,ARMED,GUIDED,NONE,1.35218,103.81984,16,0.5,0.2,-0.3,3,12,94,16.42,1.0,2.0,93,95,OK,NONE,Climb profile
12,PX4_STYLE_LOG_001,LOCAL_POSITION,1,1,TAKEOFF,ARMED,GUIDED,NONE,1.35219,103.819845,18,0.5,0.2,-0.3,3,12,93,16.41,1.0,2.0,94,95,OK,NONE,Climb profile
13,PX4_STYLE_LOG_001,LOCAL_POSITION,1,1,TAKEOFF,ARMED,GUIDED,NONE,1.3522,103.81985,20,0.5,0.2,-0.3,3,12,93,16.4,1.0,2.0,95,95,OK,NONE,Climb profile
14,PX4_STYLE_LOG_001,LOCAL_POSITION,1,1,TAKEOFF,ARMED,GUIDED,NONE,1.35221,103.819855,22,0.5,0.2,-0.3,3,12,93,16.39,1.0,2.0,96,95,OK,NONE,Climb profile
15,PX4_STYLE_LOG_001,LOCAL_POSITION,1,1,TAKEOFF,ARMED,GUIDED,NONE,1.35222,103.81986,24,0.5,0.2,-0.3,3,12,92,16.38,1.0,2.0,97,95,OK,NONE,Climb profile
16,PX4_STYLE_LOG_001,LOCAL_POSITION,1,1,TAKEOFF,ARMED,GUIDED,NONE,1.35223,103.819865,26,0.5,0.2,-0.3,3,12,92,16.37,1.0,2.0,98,95,OK,NONE,Climb profile
17,PX4_STYLE_LOG_001,LOCAL_POSITION,1,1,TAKEOFF,ARMED,GUIDED,NONE,1.35224,103.81987,28,0.5,0.2,-0.3,3,12,92,16.36,1.0,2.0,99,95,OK,NONE,Climb profile
18,PX4_STYLE_LOG_001,LOCAL_POSITION,1,1,TAKEOFF,ARMED,GUIDED,NONE,1.35225,103.819875,30,0.5,0.2,-0.3,3,12,91,16.35,1.0,2.0,100,95,OK,NONE,Climb profile
19,PX4_STYLE_LOG_001,HEARTBEAT,1,1,HOVER,ARMED,GUIDED,NONE,1.35226,103.81988,30,0,0,0,3,12,90,16.2,0.5,0.2,103,95,OK,NONE,Stable hover
20,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,MOVE,1.35229,103.8199,30.494807918509046,2.0,1.0,0.1,3,12,90,16.185,1.2,1.1,104,94,OK,NONE,Waypoint navigation
21,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,MOVE,1.35232,103.81992,30.958851077208408,2.0,1.0,0.1,3,12,89,16.169999999999998,1.2,1.1,105,94,OK,NONE,Waypoint navigation
22,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,MOVE,1.35235,103.81994,31.36327752004667,2.0,1.0,0.1,3,12,89,16.154999999999998,1.2,1.1,106,94,OK,NONE,Waypoint navigation
23,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,MOVE,1.35238,103.81996,31.682941969615793,2.0,1.0,0.1,3,12,88,16.14,1.2,1.1,107,94,OK,NONE,Waypoint navigation
24,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,MOVE,1.35241,103.81998,31.897969238711173,2.0,1.0,0.1,3,12,88,16.125,1.2,1.1,108,93,OK,NONE,Waypoint navigation
25,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,MOVE,1.35244,103.82,31.99498997320811,2.0,1.0,0.1,3,12,87,16.11,1.2,1.1,109,93,OK,NONE,Waypoint navigation
26,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,MOVE,1.35247,103.82002,31.967971893747873,2.0,1.0,0.1,3,12,87,16.095,1.2,1.1,110,93,OK,NONE,Waypoint navigation
27,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,MOVE,1.3525,103.82004,31.818594853651362,2.0,1.0,0.1,3,12,86,16.08,1.2,1.1,111,93,OK,NONE,Waypoint navigation
28,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,MOVE,1.35253,103.82006,31.556146393775844,2.0,1.0,0.1,3,12,86,16.064999999999998,1.2,1.1,112,93,OK,NONE,Waypoint navigation
29,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,MOVE,1.35256,103.82008,31.196944288207913,2.0,1.0,0.1,3,12,85,16.05,1.2,1.1,113,92,OK,NONE,Waypoint navigation
